PCA_GHG_Bio,Composite_Water,grouping,sex,diet_group,age_group
1.559,2.138,meat <50_female_70-79,female,meat50,70-79
1.858,1.998,meat <50_male_20-29,male,meat50,20-29
1.799,2.222,meat <50_male_30-39,male,meat50,30-39
1.821,2.046,meat <50_male_40-49,male,meat50,40-49
1.764,2.003,meat <50_male_50-59,male,meat50,50-59
1.683,2.051,meat <50_male_60-69,male,meat50,60-69
1.692,2.148,meat <50_male_70-79,male,meat50,70-79
3.357,2.822,meat 100+_female_20-29,female,meat100,20-29
3.469,2.826,meat 100+_female_30-39,female,meat100,30-39
3.819,2.736,meat 100+_female_40-49,female,meat100,40-49
3.867,2.798,meat 100+_female_50-59,female,meat100,50-59
3.806,2.812,meat 100+_female_60-69,female,meat100,60-69
3.946,2.904,meat 100+_female_70-79,female,meat100,70-79
4.479,3.371,meat 100+_male_20-29,male,meat100,20-29
4.067,3.048,meat 100+_male_30-39,male,meat100,30-39
4.215,2.818,meat 100+_male_40-49,male,meat100,40-49
4.136,2.877,meat 100+_male_50-59,male,meat100,50-59
3.948,2.893,meat 100+_male_60-69,male,meat100,60-69
4.191,2.971,meat 100+_male_70-79,male,meat100,70-79
2.037,2.256,meat50-99_female_20-29,female,meat,20-29
2.147,2.246,meat50-99_female_30-39,female,meat,30-39
2.303,2.232,meat50-99_female_40-49,female,meat,40-49
2.287,2.265,meat50-99_female_50-59,female,meat,50-59
2.227,2.381,meat50-99_female_60-69,female,meat,60-69
2.255,2.408,meat50-99_female_70-79,female,meat,70-79
2.445,2.547,meat50-99_male_20-29,male,meat,20-29
2.544,2.503,meat50-99_male_30-39,male,meat,30-39
2.678,2.348,meat50-99_male_40-49,male,meat,40-49
2.515,2.244,meat50-99_male_50-59,male,meat,50-59
2.450,2.349,meat50-99_male_60-69,male,meat,60-69
2.510,2.345,meat50-99_male_70-79,male,meat,70-79
0.387,0.849,vegan_female_20-29,female,vegan,20-29
0.470,0.880,vegan_female_30-39,female,vegan,30-39
0.602,1.037,vegan_female_40-49,female,vegan,40-49
0.480,1.068,vegan_female_50-59,female,vegan,50-59
0.547,1.164,vegan_female_60-69,female,vegan,60-69
0.607,1.288,vegan_female_70-79,female,vegan,70-79
0.709,1.304,vegan_male_20-29,male,vegan,20-29
0.654,1.100,vegan_male_30-39,male,vegan,30-39
